intent_id,priority,awaiting_field,unresolved,missing,present,entity_values,eliza_de,extra,comments
,90,billing_newcontract_yesno,billing_newcontract_yesno,None,None,,"[
  {
    ""ResponseType"": 1,
    ""ResponseValue"": {
      ""text"": ""Haben Sie vielleicht einen neuen Vertrag abgeschlossen?"",
      ""spokenText"": ""Haben Sie vielleicht einen neuen Vertrag abgeschlossen?"",
      ""options"": [
        {
          ""text"": ""Ja"",
          ""spokenText"": ""Ja"",
          ""nluentityvalue"": ""yes""
        },
        {
          ""text"": ""Nein"",
          ""spokenText"": ""Nein"",
          ""nluentityvalue"": ""no""
        }
      ]
    },
    ""ResponseTrigger"": null
  }
]",BILL-006
,90,billing_helpsuccess,None,billing_helpsuccess,billing_newcontract_yesno,"[('billing_newcontract_yesno', 'yes')]","[
  {
    ""ResponseType"": 2,
    ""ResponseValue"": {
      ""text"": ""Ok. Hier mal kurz erklärt was Sie bei Ihrer ersten Rechnung beachten müssen."",
      ""spokenText"": ""Ok. Hier mal kurz erklärt was Sie bei Ihrer ersten Rechnung beachten müssen."",
      ""video"": {
        ""thumbnail"": ""https://www.t-mobile.at/images/Die_erste_T-Mobile_Rechnung_thumb.JPG"",
        ""url"": ""https://www.youtube.com/watch?v=Opx39BZZH1o""
      }
    },
    ""ResponseTrigger"": null
  },
  {
    ""ResponseType"": 1,
    ""ResponseValue"": {
      ""text"": ""Hier nochmal zum nachlesen."",
      ""spokenText"": ""Hier nochmal zum nachlesen."",
      ""options"": [
        {
          ""text"": ""Die erste Rechnung"",
          ""spokenText"": ""Die erste Rechnung"",
          ""url"": ""http://www.t-mobile.at/rechnung/#ersterechnung""
        }
      ]
    },
    ""ResponseTrigger"": {
      ""timeDelayInSecs"": 5
    }
  },
  {
    ""ResponseType"": 1,
    ""ResponseValue"": {
      ""text"": ""Konnte ich Ihnen weiterhelfen?"",
      ""spokenText"": ""Konnte ich Ihnen weiterhelfen?"",
      ""options"": [
        {
          ""text"": ""Ja"",
          ""spokenText"": ""Ja"",
          ""nluentityvalue"": ""yes""
        },
        {
          ""text"": ""Nein"",
          ""spokenText"": ""Nein"",
          ""nluentityvalue"": ""no""
        }
      ]
    },
    ""ResponseTrigger"": {
      ""timeDelayInSecs"": 5
    }
  }
]",BILL-007
,90,billing_helpsuccess,billing_helpsuccess,None,billing_newcontract_yesno,"[('billing_newcontract_yesno', 'yes')]","[
  {
    ""ResponseType"": 2,
    ""ResponseValue"": {
      ""text"": ""Ok. Hier mal kurz erklärt was Sie bei Ihrer ersten Rechnung beachten müssen."",
      ""spokenText"": ""Ok. Hier mal kurz erklärt was Sie bei Ihrer ersten Rechnung beachten müssen."",
      ""video"": {
        ""thumbnail"": ""https://www.t-mobile.at/images/Die_erste_T-Mobile_Rechnung_thumb.JPG"",
        ""url"": ""https://www.youtube.com/watch?v=Opx39BZZH1o""
      }
    },
    ""ResponseTrigger"": null
  },
  {
    ""ResponseType"": 1,
    ""ResponseValue"": {
      ""text"": ""Hier nochmal zum nachlesen."",
      ""spokenText"": ""Hier nochmal zum nachlesen."",
      ""options"": [
        {
          ""text"": ""Die erste Rechnung"",
          ""spokenText"": ""Die erste Rechnung"",
          ""url"": ""http://www.t-mobile.at/rechnung/#ersterechnung""
        }
      ]
    },
    ""ResponseTrigger"": {
      ""timeDelayInSecs"": 5
    }
  },
  {
    ""ResponseType"": 1,
    ""ResponseValue"": {
      ""text"": ""Konnte ich Ihnen weiterhelfen?"",
      ""spokenText"": ""Konnte ich Ihnen weiterhelfen?"",
      ""options"": [
        {
          ""text"": ""Ja"",
          ""spokenText"": ""Ja"",
          ""nluentityvalue"": ""yes""
        },
        {
          ""text"": ""Nein"",
          ""spokenText"": ""Nein"",
          ""nluentityvalue"": ""no""
        }
      ]
    },
    ""ResponseTrigger"": {
      ""timeDelayInSecs"": 5
    }
  }
]",BILL-007
,90,billing_tariffchange_yesno,None,billing_tariffchange_yesno,billing_newcontract_yesno,"[('billing_newcontract_yesno', 'no')]","[
  {
    ""ResponseType"": 1,
    ""ResponseValue"": {
      ""text"": ""Haben Sie vielleicht Ihren Tarif gewechselt?"",
      ""spokenText"": ""Haben Sie vielleicht Ihren Tarif gewechselt?"",
      ""options"": [
        {
          ""text"": ""Ja"",
          ""spokenText"": ""Ja"",
          ""nluentityvalue"":""Ja""
        },
        {
          ""text"": ""Nein"",
          ""spokenText"": ""Nein"",
          ""nluentityvalue"":""Nein""
        }
      ]
    },
    ""ResponseTrigger"": null
  }
]",BILL-032
,90,billing_tariffchange_yesno,billing_tariffchange_yesno,None,billing_newcontract_yesno,"[('billing_newcontract_yesno', 'no')]","[
  {
    ""ResponseType"": 1,
    ""ResponseValue"": {
      ""text"": ""Haben Sie vielleicht Ihren Tarif gewechselt?"",
      ""spokenText"": ""Haben Sie vielleicht Ihren Tarif gewechselt?"",
      ""options"": [
        {
          ""text"": ""Ja"",
          ""spokenText"": ""Ja"",
          ""nluentityvalue"":""Ja""
        },
        {
          ""text"": ""Nein"",
          ""spokenText"": ""Nein"",
          ""nluentityvalue"":""Nein""
        }
      ]
    },
    ""ResponseTrigger"": null
  }
]",BILL-032
,90,none,None,None,billing_tariffchange_yesno,"[('billing_tariffchange_yesno', 'yes')]",{{intent:billing_tariffchange}},Bill-17
,90,none,None,None,billing_tariffchange_yesno,"[('billing_tariffchange_yesno', 'no')]",{{intent:billing_high_morereasons}},Bill-10
,80,none,None,None,billing_helpsuccess,"[('billing_helpsuccess', 'yes')]","[
  {
    ""ResponseType"": 0,
    ""ResponseValue"": {
      ""text"": ""Juhu. Ich helfe Ihnen gerne jederzeit wieder."",
      ""spokenText"": ""Juhu. Ich helfe Ihnen gerne jederzeit wieder.""
    },
    ""ResponseTrigger"": null
  }
]",BILL-008
,80,billing_moretopics,None,billing_moretopics,billing_helpsuccess,"[('billing_helpsuccess', 'no')]","[
  {
    ""ResponseType"": 1,
    ""ResponseValue"": {
      ""text"": ""Hmm, schade… vielleicht hilft Ihnen ja eines dieser Themen weiter?"",
      ""spokenText"": ""Wenn Sie Fragen zur Rechnung haben, kann ich Ihnen damit behilflich sein."",
      ""options"": [
        {
          ""text"": ""Rechnung einfach erklärt"",
          ""spokenText"": ""Rechnung einfach erklärt"",
          ""nluentityvalue"": ""Rechnung einfach erklärt""
        },
        {
          ""text"": ""Weitere Gründe hoher Rechnung"",
          ""spokenText"": ""Weitere Gründe hoher Rechnung"",
          ""nluentityvalue"": ""Weitere Grunde hoher Rechnung""
        },
        {
          ""text"": ""Mehr zum Thema Rechnung"",
          ""spokenText"": ""Mehr zum Thema Rechnung"",
          ""nluentityvalue"": ""Mehr zum Thema Rechnung""
        }
      ]
    },
    ""ResponseTrigger"": null
  }
]",BILL-009
,80,billing_moretopics,billing_moretopics,None,billing_helpsuccess,"[('billing_helpsuccess', 'no')]","[
  {
    ""ResponseType"": 1,
    ""ResponseValue"": {
      ""text"": ""Hmm, schade… vielleicht hilft Ihnen ja eines dieser Themen weiter?"",
      ""spokenText"": ""Wenn Sie Fragen zur Rechnung haben, kann ich Ihnen damit behilflich sein."",
      ""options"": [
        {
          ""text"": ""Rechnung einfach erklärt"",
          ""spokenText"": ""Rechnung einfach erklärt"",
          ""nluentityvalue"": ""Rechnung einfach erklärt""
        },
        {
          ""text"": ""Weitere Gründe hoher Rechnung"",
          ""spokenText"": ""Weitere Gründe hoher Rechnung"",
          ""nluentityvalue"": ""Weitere Gründe hoher Rechnung""
        },
        {
          ""text"": ""Mehr zum Thema Rechnung"",
          ""spokenText"": ""Mehr zum Thema Rechnung"",
          ""nluentityvalue"": ""Mehr zum Thema Rechnung""
        }
      ]
    },
    ""ResponseTrigger"": null
  }
]",BILL-009
